temperature,humidity,smoke,temp_max,temp_min,pressure,clouds_all,wind_speed,wind_deg,wind_gust,temp_local,ForestFire
28.55,51.5,1074.47,31.09,22.01,998.69,41.69,24.68,258.43,37.49,29.06,0
32.19,36.84,2182.37,40.34,29.32,951.91,20.94,10.26,8.7,17.76,50.25,1
71.76,4.16,4771.73,75.6,70.39,967.94,7.86,3.43,64.66,13.45,74.74,1
98.27,36.66,3534.7,101.28,96.02,957.33,8.5,18.36,195.93,18.65,99.82,1
28.01,94.14,1008.29,37.74,24.56,963.53,92.61,26.82,338.39,36.6,24.69,0
31.85,68.3,475.43,40.07,22.91,963.01,59.03,5.45,23.74,9.06,33.68,0
33.33,80.8,344.22,40.0,24.63,1018.08,60.82,0.65,208.36,13.66,36.57,0
54.42,39.62,1962.4,61.69,52.84,1000.02,34.86,26.52,118.4,37.79,52.69,1
90.31,26.36,2330.31,100.23,86.7,1002.4,35.68,20.93,240.99,22.57,126.22,1
63.31,5.96,3749.62,69.65,54.31,962.19,23.47,24.26,343.05,25.81,102.45,1
20.62,81.46,967.76,22.53,17.49,940.04,74.31,1.8,96.69,6.19,15.94,0
91.41,21.64,2454.41,92.99,81.45,944.65,32.74,26.71,344.13,28.6,102.31,1
68.39,21.06,2229.09,75.39,65.08,984.24,31.72,12.57,313.43,23.68,81.65,1
40.51,59.07,955.12,47.43,32.86,962.84,79.4,26.93,218.54,41.73,35.94,0
18.37,93.36,151.67,26.1,13.62,955.44,50.44,1.95,272.97,11.78,14.57,0
26.43,82.94,821.9,28.4,24.2,943.97,83.22,26.54,311.36,30.28,29.6,0
39.53,55.54,875.94,49.03,36.23,1010.07,74.18,20.2,289.25,28.67,43.49,0
83.73,5.5,3760.05,89.69,76.65,988.01,24.2,16.63,117.61,28.71,87.43,1
34.6,62.24,587.54,41.45,30.57,948.59,72.61,1.85,292.54,16.29,39.18,0
28.6,66.95,1240.79,29.92,22.17,1001.31,97.38,20.65,112.87,20.73,27.79,0
80.99,27.62,2086.19,90.63,78.14,1000.47,20.26,17.93,312.15,25.79,100.98,1
27.72,55.36,651.76,33.78,22.68,963.15,74.42,21.79,91.97,28.59,29.53,0
36.67,77.11,1399.1,42.74,31.06,955.07,90.57,21.5,206.01,27.72,35.87,0
14.55,82.82,756.16,24.04,9.83,1005.12,62.75,13.31,249.45,20.87,9.74,0
26.37,88.07,1087.7,35.73,23.59,966.37,58.95,6.14,153.28,12.19,31.03,0
42.21,31.16,2023.26,45.19,37.05,1007.79,21.19,27.57,281.87,32.73,60.78,1
35.34,85.26,305.66,44.72,28.1,943.49,75.07,27.77,333.13,29.49,36.47,0
105.81,5.64,4748.18,113.44,96.13,979.94,0.76,6.36,67.05,13.86,138.14,1
72.06,24.06,2871.89,73.23,63.95,954.37,37.56,18.92,12.04,31.24,78.34,1
44.79,89.58,1129.96,47.95,42.34,993.76,88.14,6.09,225.55,7.66,43.42,0
86.95,7.11,3971.59,91.67,83.5,1019.78,15.1,25.84,216.79,36.91,89.06,1
43.29,50.84,483.75,49.53,41.58,973.0,71.38,2.95,122.87,6.96,40.51,0
38.17,48.79,597.8,45.49,35.95,948.02,57.68,29.71,282.77,35.42,36.69,0
83.83,31.19,2634.9,86.72,80.58,965.41,23.62,18.33,297.41,33.15,114.98,1
90.12,12.0,4033.35,98.66,87.33,1011.32,31.38,0.69,119.51,10.82,96.96,1
108.95,12.23,4365.87,117.56,106.02,1001.26,10.29,26.46,245.62,37.24,115.47,1
36.26,83.31,1494.91,42.97,33.18,958.58,79.55,20.53,231.13,29.57,41.13,0
27.77,88.24,1171.09,37.06,24.06,1016.29,60.21,20.92,123.35,25.76,25.34,0
107.25,3.46,2586.67,115.57,105.12,989.78,21.02,8.25,348.89,18.38,133.19,1
43.69,89.25,587.85,46.69,40.19,953.44,52.24,10.1,124.7,16.96,39.86,0
29.01,44.2,100.56,37.2,21.82,985.79,44.77,27.43,223.3,39.91,26.22,0
38.26,91.15,859.71,47.84,35.14,976.1,70.49,19.05,136.85,27.61,38.32,0
27.75,61.8,542.56,29.98,25.2,1005.58,77.32,0.51,4.26,12.08,29.78,0
38.36,35.11,3818.28,48.17,36.75,967.53,25.65,9.82,32.99,22.55,65.81,1
23.22,44.17,1031.56,24.44,17.72,1010.0,71.81,17.96,83.63,30.27,26.95,0
69.04,5.37,4903.95,74.74,60.46,1004.96,20.32,4.44,292.38,10.47,101.87,1
45.25,80.46,1128.14,53.21,43.71,993.97,86.2,2.95,159.14,8.48,41.47,0
64.51,31.21,2099.61,72.62,58.63,960.69,18.28,1.78,211.9,14.82,84.31,1
46.22,17.28,4020.39,53.83,39.36,1017.63,8.75,18.92,339.79,21.06,59.35,1
38.92,61.04,692.02,44.68,32.59,983.89,66.0,9.62,52.93,13.81,37.33,0
40.49,29.69,2154.66,47.35,31.59,1012.6,5.45,11.21,310.25,13.03,74.82,1
95.02,1.6,3945.59,102.32,86.22,957.26,0.85,1.8,136.52,2.43,123.24,1
38.7,35.32,3415.86,44.15,37.18,1018.67,22.12,22.14,121.49,31.38,74.51,1
80.57,4.93,1606.31,86.93,76.32,1005.28,5.24,23.0,225.19,36.51,103.76,1
38.44,6.48,3763.06,47.06,31.41,1015.94,34.63,24.88,323.51,26.82,63.62,1
73.59,29.65,3722.45,77.41,64.02,956.99,39.32,19.55,125.47,31.49,94.33,1
23.15,89.84,380.93,28.86,14.91,974.45,75.67,23.2,274.11,28.89,22.57,0
38.01,90.2,393.33,39.09,35.42,947.81,89.68,17.32,6.93,26.59,40.42,0
37.65,43.01,856.4,44.84,34.14,950.96,73.68,14.75,224.32,26.21,38.65,0
40.73,44.39,616.1,43.49,32.86,962.72,49.91,7.79,227.0,18.45,37.76,0
34.99,53.48,119.81,40.32,29.74,1016.13,79.67,1.6,200.18,3.65,34.99,0
10.58,54.03,943.77,13.47,4.65,993.38,41.81,8.75,337.62,10.49,6.35,0
52.66,10.47,1859.93,53.87,46.18,965.17,13.73,20.51,337.89,34.37,66.17,1
18.44,61.37,909.62,23.79,16.51,1016.37,95.29,27.81,123.14,29.0,18.63,0
27.97,72.32,760.51,32.8,19.27,999.18,75.82,7.69,164.29,10.96,24.2,0
67.4,12.98,3670.4,72.23,58.63,1012.56,28.74,20.1,285.26,26.67,68.32,1
33.05,69.89,101.24,35.93,27.84,1014.18,45.07,14.35,303.81,26.66,36.1,0
92.67,33.7,2510.33,102.19,86.02,1000.06,31.18,18.83,150.47,27.87,122.75,1
33.42,78.86,646.98,34.45,26.48,959.45,59.04,0.05,125.65,8.62,31.71,0
51.89,37.3,1739.0,60.91,49.18,1019.73,30.36,3.68,295.42,14.06,71.49,1
60.3,7.46,2481.02,67.93,58.29,966.01,18.0,6.51,135.67,18.54,79.34,1
31.49,44.7,909.37,34.04,30.3,993.74,60.9,26.8,145.88,30.29,31.93,0
27.86,56.3,22.55,33.11,18.64,1007.58,49.48,1.22,48.79,1.5,29.35,0
68.42,24.96,2736.83,78.32,64.31,954.01,10.0,17.09,195.46,19.0,97.18,1
70.38,19.73,2181.88,77.18,68.61,988.72,9.55,27.86,117.52,30.34,105.64,1
93.92,24.36,2439.28,96.07,88.73,970.01,17.3,19.56,212.62,20.16,113.05,1
69.65,8.03,4373.32,74.76,67.97,959.54,2.06,14.53,161.36,25.74,69.61,1
36.66,52.16,1136.44,41.87,34.89,940.94,47.74,11.58,269.33,24.85,36.08,0
31.89,80.63,1110.91,40.11,26.49,1009.76,50.32,18.73,100.0,29.39,31.5,0
46.08,41.52,1279.77,55.33,40.5,950.87,69.63,14.41,61.92,17.24,41.37,0
42.96,27.5,2642.56,44.7,36.74,1010.25,18.61,21.16,253.07,30.26,48.09,1
95.67,18.6,3412.95,99.5,88.76,988.06,23.61,18.53,138.29,26.34,111.05,1
30.47,40.05,1246.52,34.16,23.46,989.68,83.66,17.02,202.9,29.32,35.38,0
36.95,87.81,356.4,46.91,32.05,1006.29,93.54,28.7,338.78,42.84,39.58,0
25.63,76.93,691.76,31.67,18.84,980.76,47.11,25.07,174.27,36.21,22.05,0
40.72,45.44,291.49,49.64,36.97,968.58,44.96,18.27,54.86,25.95,40.7,0
111.97,27.07,4580.84,116.81,107.0,951.1,28.95,16.16,153.61,23.83,115.35,1
